booth,station,station_name,line_name,division,borough,right_of_way,location,position,access,into,status,tracked_as,details,has_booth,lat,lon
H026,MYRTLE-WYCKOFF,Myrtle-Wyckoff Avs,LM,BMT,Bk,Wyckoff Ave,Myrtle Ave,,Mez,,Open,,,1,40.699641,-73.911624
H027,MYRTLE-WYCKOFF,Myrtle-Wyckoff Avs,LM,BMT,Bk,Wyckoff Ave,Palmetto St,,Mez,,Open,,,0,40.699574,-73.911034
H028,HALSEY ST,Halsey St,L,BMT,Q,Wyckoff Ave,George St,,N/B,,Open,,,1,40.696058,-73.904570
H029,HALSEY ST,Halsey St,L,BMT,Q,Wyckoff Ave,Norman St,,N/B,,Open,H028,,0,40.695193,-73.903169
H030,HALSEY ST,Halsey St,L,BMT,Q,Wyckoff Ave,Halsey St,,S/B,,Open,,,0,40.696017,-73.905123
H031,HALSEY ST,Halsey St,L,BMT,Q,Wyckoff Ave,Covert St,,S/B,,Open,H030,,0,40.695217,-73.903582
H032,WILSON AV,Wilson Av,L,BMT,Bk,Canarsie Line (Moffat St),Wilson St,,Mez,,Open,,,1,40.688784,-73.904710
H033,BUSHWICK AV,Bushwick Av-Aberdeen St,L,BMT,Bk,Canarsie Line (Bushwick Ave),"Bushwick Ave, Aberdeen St",,Mez,,Open,,,1,40.682417,-73.905106
H035,ATLANTIC AV,Atlantic Av,L,BMT,Bk,Canarsie Line (Van Sinderen Ave),E New York Ave,,Mez,,Open,,,1,40.675598,-73.902751
H036,SUTTER AV,Sutter Av,L,BMT,Bk,Canarsie Line (Van Sinderen Ave),Belmont Ave,,Mez,,Closed,,,0,40.669663,-73.902041
H037,SUTTER AV,Sutter Av,L,BMT,Bk,Canarsie Line (Van Sinderen Ave),Sutter Ave,,Mez,,Open,,,1,40.668666,-73.901854
H038,LIVONIA AV,Livonia Av,L,BMT,Bk,Canarsie Line (Van Sinderen Ave),Livonia Ave,,Mez,,Open,,,1,40.663926,-73.900565
H039,NEW LOTS,New Lots Av,L,BMT,Bk,Canarsie Line (Van Sinderen Ave),New Lots Ave,,Mez,,Open,,,1,40.658948,-73.899339
H040,EAST 105 ST,East 105 St,L,BMT,Bk,Canarsie Line (Foster Ave-Farragut Rd),E 105th St,,Mez,,Open,,,1,40.651390,-73.899000
H041,CANARSIE-ROCKAW,Canarsie-Rockaway Pkwy,L,BMT,Bk,Canarsie Line (Farragut-Glenwood Rds),Rockaway Pkwy,,Mez,,Open,,,1,40.645612,-73.902511
