booth,station_id,station_id_2,station_id_3,complex_id,stop_name,complex_name
N551,246,,,246,Avenue I,
N552,246,,,246,Avenue I,
N553,247,,,247,Bay Pkwy,
N554,248,,,248,Avenue N,
N555,248,,,248,Avenue N,
N556,249,,,249,Avenue P,
N557,250,,,250,Kings Hwy,
N558,250,,,250,Kings Hwy,
N559,251,,,251,Avenue U,
N560,251,,,251,Avenue U,
N561,252,,,252,Avenue X,
N562,253,,,253,Neptune Av,
N342,254,,,254,Jamaica-179 St,
N343,254,,,254,Jamaica-179 St,
N340,255,,,255,169 St,
N340A,255,,,255,169 St,
N339,256,,,256,Parsons Blvd,
N339A,256,,,256,Parsons Blvd,
N338,257,,,257,Sutphin Blvd,
N338B,257,,,257,Sutphin Blvd,
N337,258,,,258,Briarwood,
N335,259,,,259,Kew Gardens-Union Tpke,
N336,259,,,259,Kew Gardens-Union Tpke,
N334B,260,,,260,75 Av,
N333,261,,,261,Forest Hills-71 Av,
N333A,261,,,261,Forest Hills-71 Av,
N333B,261,,,261,Forest Hills-71 Av,
N331,262,,,262,67 Av,
N332,262,,,262,67 Av,
N330,263,,,263,63 Dr-Rego Park,
N330B,263,,,263,63 Dr-Rego Park,
N330C,263,,,263,63 Dr-Rego Park,
N329,264,,,264,Woodhaven Blvd,
N329A,264,,,264,Woodhaven Blvd,
N327,265,,,265,Grand Av-Newtown,
N325A,266,,,266,Elmhurst Av,
N323,267,,,616,Jackson Hts-Roosevelt Av,Jackson Hts-Roosevelt Av / 74 St
N324,267,,,616,Jackson Hts-Roosevelt Av,Jackson Hts-Roosevelt Av / 74 St
N322,268,,,268,65 St,
N318,269,,,269,Northern Blvd,
N319,269,,,269,Northern Blvd,
N316,270,,,270,46 St,
N316A,270,,,270,46 St,
N317,270,,,270,46 St,
N314,271,,,271,Steinway St,
N315,271,,,271,Steinway St,
N311,272,,,272,36 St,
N312,272,,,272,36 St,
N312A,272,,,272,36 St,
N313,272,,,272,36 St,
N309A,273,,,273,Queens Plaza,
N310,273,,,273,Queens Plaza,
N307,274,,,606,Court Sq-23 St,Court Sq - 23 St
N308,274,,,606,Court Sq-23 St,Court Sq - 23 St
N305,275,,,612,Lexington Av/53 St,51 St - Lexington Av / 53 St
N305A,275,401,,612,Lexington Av/53 St,51 St - Lexington Av / 53 St
N305B,275,401,,612,Lexington Av/53 St,51 St - Lexington Av / 53 St
N306,275,,,612,Lexington Av/53 St,51 St - Lexington Av / 53 St
N306A,275,,,612,Lexington Av/53 St,51 St - Lexington Av / 53 St
N303,276,,,276,5 Av/53 St,
N304,276,,,276,5 Av/53 St,
N304A,276,,,276,5 Av/53 St,
N300,277,,,277,7 Av,
N301,277,,,277,7 Av,
N606,278,,,278,Jamaica Center-Parsons/Archer,
N607,278,,,278,Jamaica Center-Parsons/Archer,
N605,279,,,279,Sutphin Blvd-Archer Av-JFK Airport,
N604,280,,,280,Jamaica-Van Wyck,
N400,281,,,606,Court Sq,Court Sq - 23 St
N400A,281,274,,606,Court Sq,Court Sq - 23 St
N401,282,,,282,21 St,
N403,283,,,283,Greenpoint Av,
N404,283,,,283,Greenpoint Av,
N405,283,,,283,Greenpoint Av,
N406,284,,,284,Nassau Av,
N407,284,,,284,Nassau Av,
N408,284,,,284,Nassau Av,
N408A,284,,,284,Nassau Av,
N409,285,,,629,Metropolitan Av,Metropolitan Av / Lorimer St
N410,285,,,629,Metropolitan Av,Metropolitan Av / Lorimer St
N412,286,,,286,Broadway,
N414,287,,,287,Flushing Av,
N414A,287,,,287,Flushing Av,
N415,288,,,288,Myrtle-Willoughby Avs,
N416,288,,,288,Myrtle-Willoughby Avs,
N417,289,,,289,Bedford-Nostrand Avs,
N418,289,,,289,Bedford-Nostrand Avs,
N419,290,,,290,Classon Av,
N420B,291,,,291,Clinton-Washington Avs,
N421,292,,,292,Fulton St,
N422,292,,,292,Fulton St,
R197,293,,,293,Van Cortlandt Park-242 St,
R196,294,,,294,238 St,
R194,295,,,295,231 St,
R192,296,,,296,Marble Hill-225 St,
R190,297,,,297,215 St,
R188,298,,,298,207 St,
R186,299,,,299,Dyckman St,
R185,300,,,300,191 St,
R183,301,,,301,181 St,
R182,302,,,605,168 St-Washington Hts,168 St - Washington Hts
R179,303,,,303,157 St,
R180,303,,,303,157 St,
R177,304,,,304,145 St,
R178,304,,,304,145 St,
R175,305,,,305,137 St-City College,
R176,305,,,305,137 St-City College,
R174,306,,,306,125 St,
R173,307,,,307,116 St-Columbia University,
R171,308,,,308,Cathedral Pkwy (110 St),
R172,308,,,308,Cathedral Pkwy (110 St),
R170,309,,,309,103 St,
R168,310,,,310,96 St,
R168A,310,,,310,96 St,
R169,310,,,310,96 St,
R164,311,,,311,86 St,
R165,311,,,311,86 St,
R166,311,,,311,86 St,
R162,312,,,312,79 St,
R163,312,,,312,79 St,
R161,313,,,313,72 St,
